GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Remarks
GF077155E41973N_1,1975,1975,6,17,Angy Say,No glacier,not mapped,NA,G077155E41973N,41.997,77.152,3500,42.032215,77.05377,2340,Observation,Moraine dammed,N,Y,13-03,4,Kyrgyzstan,,Tong,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2010)",,
GF077155E41973N_2,1980,1980,6,25,Angy Say,No glacier,not mapped,NA,G077155E41973N,41.997,77.152,3500,42.032215,77.05377,2340,Observation,Moraine dammed,N,Y,13-03,4,Kyrgyzstan,,Tong,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2010)",,
GF077155E41973N_3,1980,1980,7,14,Angy Say,No glacier,not mapped,NA,G077155E41973N,41.997,77.152,3500,42.032215,77.05377,2340,Observation,Moraine dammed,N,Y,13-03,4,Kyrgyzstan,,Tong,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2010)",,
GF077155E41973N_0,1974,1974,6,14,Angy Say,No glacier,not mapped,NA,G077155E41973N,41.997,77.152,3500,42.032215,77.05377,2340,Observation,Moraine dammed,N,Y,13-03,4,Kyrgyzstan,,Tong,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2018)",,
GF086494E28348N_0,1968,1968,8,15,Aya Co,unnamed,GL086494E28348N,"1, 2, 3, 4",G086459E28339N,28.346,86.49,5533,28.58541,86.58843,4330,Observation,Moraine dammed,Y,Y,15-02,11,China,TAR,Pumqu,unknown,ice avalanche,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mool, Bajracharya and Joshi, 2001; ICIMOD, 2011; Komori et al., 2012; Wang et al., 2012; Liu et al., 2014; Nie et al., 2018; Veh et al., 2019)",,
GF086494E28348N_1,1969,1969,8,17,Aya Co,unnamed,GL086494E28348N,"1, 2, 3, 4",G086459E28339N,28.346,86.49,5533,28.58541,86.58843,4330,Observation,Moraine dammed,Y,Y,15-02,11,China,TAR,Pumqu,unknown,ice avalanche,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mool, Bajracharya and Joshi, 2001; Wang et al., 2012; Liu et al., 2014; Carrivick and Tweed, 2016; Nie et al., 2018; Veh et al., 2019)",,
GF086494E28348N_2,1970,1970,8,18,Aya Co,unnamed,GL086494E28348N,"1, 2, 3, 4",G086459E28339N,28.346,86.49,5533,28.58541,86.58843,4330,Observation,Moraine dammed,Y,Y,15-02,11,China,TAR,Pumqu,unknown,ice avalanche,unknown,,,,,,,,,,,,,,,,,,,,,,,Damaged highway and concrete bridges of Desha No. 1  in Tibet,,,,"(Mool, Bajracharya and Joshi, 2001; Wang et al., 2012; Liu et al., 2014; Veh et al., 2019)",,"Difference in ouburst date between three authors. Carrivick-1970/8/17; Nie et al., - 1970/7/12 and Veh et al., 1970/8/18. Consider veh et al., 2018 as the outburst date match with Kiu et al., 2014  and Wang et al., 2012"
GF074060E36505E_0,2018,2018,8,17,Badswat ,unnamed,ephemeral,NA,G074052E36491N,36.505,74.06,4024,36.538,74.018,2570,Observation,Glacier outburst flood,N,N,14-02,9,Pakistan,Gilgit - Baltistan,Ishkoman,unknown,high temperatures,englacial tunnel,,,,,,,,,,,,,,,,,,,40,12,,,road blocked,,,,this study,,
GF069638E35460E_0,2021,2021,7,4,Bam Tanab ,Bam Tanab ,ephemeral,NA,G069631E35461N,35.46015,69.63869,4416,35.396,69.694,2109,Observation,Supraglacial,N,N,14-01,8,Afghanistan,Panjshir,Panjshir,melt,water level rise,englacial tunnel,14703,25000,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/watch/?extid=NS-UNK-UNK-UNK-IOS_GK0T-GK1C&v=2843144129330850,
GF087082E27845N_0,NA,NA,NA,NA,Barun ,Barun ,GL087082E27845N,"1, 2, 3, 4",G087096E27862N,27.843,87.081,4847,27.804,87.082,4674,Deposit,Moraine dammed,N,Y,15-02,11,Nepal,Province No. 1,Arun,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mool, Bajracharya and Joshi, 2001; Ives, Shrestha and Mool, 2010; ICIMOD, 2011)",,
GF087095E27829N_0,NA,NA,NA,NA,Barun ,Barun ,GL087095E27829N,"1, 2, 3, 4",G087107E27844N,27.829,87.094807,4847,27.804,87.082,4674,Deposit,Moraine dammed,N,Y,15-02,11,Nepal,Province No. 1,Arun,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mool, Bajracharya and Joshi, 2001; Ives, Shrestha and Mool, 2010; ICIMOD, 2011)",,
GF074850E36510E_1,1910,1910,NA,NA,Batura,Batura,ephemeral,NA,G074581E36501N,36.510556,74.850591,2713,NA,NA,NA,NA,Supraglacial,N,N,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)",,
GF074850E36510E_0,1873,1873,NA,NA,Batura,Batura,ephemeral,NA,G074581E36501N,36.510556,74.850591,2713,36.463266,74.901306,2450,Observation,Supraglacial,N,N,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994)",,"Batura glacier advanced between 1873-1874. The glacier advanced rapidly and block the Hunza river, formed ice dam lake, with sudden outburst create and major damages downstream, especially at Pasu village."
GF074850E36510E_2,1972,1972,NA,NA,Batura,Batura,ephemeral,NA,G074581E36501N,36.510556,74.850591,2713,NA,NA,NA,NA,Supraglacial,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,bridge destroyed,,,,"(Shi, 2003; Hewitt and Liu, 2010; Gao et al., 2021)",,
GF074850E36510E_4,1974,1974,NA,NA,Batura ,Batura ,ephemeral,NA,G074581E36501N,36.510556,74.850591,2530,NA,NA,NA,NA,Supraglacial,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Goudie, 1981; Kreutzmann, 1994)",,
GF074850E36510E_3,1973,1973,NA,NA,Batura ,Batura ,ephemeral,NA,G074581E36501N,36.510556,74.850591,2713,NA,NA,NA,NA,Supraglacial,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,"Destroyed road subgrade, bridges and culverts",,,,"(Shi and Zhang, 1978; Gao et al., 2021)",,
GF071898E36174E_0,2010,2010,7,28,Bindo Gol,Bindo,ephemeral,NA,G071865E36195N,36.174,71.898,4572,36.151,71.939,3263,Observation,unknown,Y,Y,14-01,8,Pakistan,Khyber Pakhtunkhwa,Chitral,unknown,unknown,unknown,, , , , , , , , ,,,, ,,,,, ,+,,,,"Communication links, Orchards and agricultural land",, , ,(this study),https://unfccc.int/files/cooperation_and_support/financial_mechanism/standing_committee/application/pdf/s8.2_2_syed.pdf; https://reliefweb.int/report/pakistan/undp-inaugurates-project-protect-remote-communities-glacial-flooding;  https://www.thethirdpole.net/en/climate/glacier-floods-cause-humanitarian-crisis-in-chitral/,
GF071898E36174E_1,2015,2015,7,NA,Bindo Gol,Bindo,ephemeral,NA,G071865E36195N,36.174,71.898,4572,36.151,71.939,3263,Observation,unknown,Y,Y,14-01,8,Pakistan,Khyber Pakhtunkhwa,Chitral,unknown,intense rainfall; high temperatures,unknown,, , , ,,3, , , ,,,, ,,,,, ,+,,,,"Road , Power station, irrigation, water system", ,,,(this study),https://www.thethirdpole.net/en/climate/glacier-floods-cause-humanitarian-crisis-in-chitral/; https://www.chitraltoday.net/2015/07/bindu-gol-flooding-glof-project-interventions-minimized-losses/,
GF077325E43020N_0,1985,1985,7,23,Bogatyr,Bogatyr,GL077325E43020N,"2, 3, 4",G077248E43020N,43.02071957,77.32564979,3447,43.002055,77.421605,2855,Deposit,Moraine dammed,N,N,13-03,4,Kazakhstan,,Shilik,surging glacier,unknown,unknown,,9300000,100,,,,,,,,,,,,,,,,,,,,,,,,(Medeu et al. 2022),,
GF094304E32062N_0,1974,1974,7,6,Boge Co,unnamed,GL094304E32062N,2,not mapped,32.061983,94.304445,5027,32.091566,94.319879,4690,Observation,Moraine dammed,N,Y,13-09,19,China,TAR,Suo/Xibaxiaqu ,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,Damaged roads and wooden bridges,,,,"(Wang et al., 2012)",,
GF072706E36384N_0,2005,2005,6,NA,Brep,Brep,ephemeral,NA,G072717E36370N,36.384,72.706,4330,36.423,72.647,2440,Observation,Glacier outburst flood,N,N,14-02,9,Pakistan,Khyber Pakhtunkhwa,Chitral,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,73,2,15,,"Road, communication system, irrigation channels",,,,"(Haq, 2007)",https://reliefweb.int/report/pakistan/pakistan-floods-ocha-situation-report-no-5,100 families displaced in total with event in Sonoghur 2007
GF073899E36845N_2,2000,2000,5,21,Chateboi,Chateboi,ephemeral,NA,G073888E36780N,36.84573,73.89904,3680,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,37000000,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)",,The lake develops in early year 2000 until 21 May 2000.  The peak lake volume before flood 37.11x106 m3 with a lake area 0.27km2. Drained completely
GF073899E36845N_0,1972,1972,NA,NA,Chateboi,Chateboi,ephemeral,NA,G073888E36780N,36.84573,73.89904,3680,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,glacier advance,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Iturrizaga, 2004)",,
GF073899E36845N_1,1977,1977,6,10,Chateboi,Chateboi,ephemeral,NA,G073888E36780N,36.84573,73.89904,3680,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,glacier advance,unknown,unknown,,13700000,,,,,,,,,,,,,,,,,,,,,,,,,"(Iturrizaga, 2005a; Bazai et al., 2021)",,"The largest lake developed in December and expanded until May 23, 1977. Peak lake volume before flood 13.70x106 m3 with a lake area 0.37km2. The outburst took place between June 1st and June 10 1977"
GF074700E42400N_0,2017,2017,8,8,Chelektor,unnamed,not mapped,NA,G074699E42402N,42.4,74.7,3837,NA,NA,NA,NA,Moraine dammed,N,N,13-03,4,Kyrgyzstan,,Nooruz,unknown,unknown,overtopping,,,,,,,,,,,,,,,,,,,,,1,,electric poles,,,,"(Daiyrov et al., 2020)",,
GF074013E36773N_0,1916,1916,10,NA,Chilinji,Chilinji,ephemeral,NA,G074059E36761N,36.773776,74.013631,3555,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Longstaff, 1951)",,
GF086922E27899N_0,NA,NA,NA,NA,Chokarma Tsho,unnamed,GL086922E27899N,NA,G086929E27916N,27.905695,86.912203,5016,NA,NA,NA,NA,Moraine dammed,N,N,15-02,11,Nepal,Province No. 1,Dudh Koshi,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mool, Bajracharya and Joshi, 2001; Ives, Shrestha and Mool, 2010; ICIMOD, 2011; Nie et al., 2018)",,
GF089745E28211N_0,2001,2001,8,6,Chongbaxia Co/ Longjiu Co,unnamed,GL089745E28211N,"1, 2, 3, 4",G089757E28197N,28.211108,89.744989,4916,28.257,89.627,4576,Observation,Moraine dammed,N,N,13-08,12,China,TAR,Nianchu,unknown,unknown,unknown,,,,,15 km from the source,,,,,,,,,,,,,,,,,,,,,,"(Yao et al., 2014; Zhang et al., 2021)",,
GF079064E30747N_0,2013,2013,6,17,Chorabari,Chorabari,No lake,NA,G079046E30771N,30.747,79.064,3841,30.732,79.066,3520,Observation,Moraine dammed,N,N,15-01,11,India,Uttarakhand,Alaknanda,melt,intense rainfall,moraine collapse,,262000000,,,300 m,6000,,,,,,,,,,,,,138,,56,,north-western section of the hamlet was on the direct path of the debris flow and took most of the brunt,,,5100000000,"(Allen et al., 2015)","due to heavy rainfall and cloudburst, right lateral Moraine dammed lake: collapsed barrier's proximal location to the snout of the glacier; lake was completely drained within 5-10 mins; 138 houses destroyed, 56 were partly damaged. 3 towns: Gaurikund, Rambara and Kedarnath were completely washed away. Roads and footpath between Gaurikund and Kedarnath damaged",
